CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change
WBA000018,application,"Web Based Application",WBS000073,IM0005070,Closed,4,4,4,0.456017703,incident,KM0000720,closed,5,"14-10-2013 10:38","14-10-2013 16:02","15-10-2013 12:20","15-10-2013 12:20","1,18,41,38,889",Other,2,#MULTIVALUE,,,
SBA000659,application,"Server Based Application",WBS000128,IM0005071,Closed,5,4,4,0.872716767,incident,KM0000623,closed,0,"14-10-2013 10:38",,"21-10-2013 08:22","21-10-2013 08:22","5,02,375",Software,1,SD0012331,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0005072,Closed,4,4,4,0.513002155,incident,KM0002041,closed,0,"14-10-2013 10:38",,"14-10-2013 11:10","14-10-2013 11:10","0,535833333",Software,1,SD0012354,,,
LAP000236,computer,Laptop,WBS000187,IM0005073,Closed,5,5,5,0.341369819,incident,KM0001447,closed,0,"14-10-2013 10:38",,"15-10-2013 15:09","15-10-2013 15:09","1,50,14,16,667",Hardware,1,SD0012351,,,
DTA000056,application,"Desktop Application",WBS000091,IM0005074,Closed,NS,3,NA,0.856486386,incident,KM0001012,closed,0,"14-10-2013 10:47",,"15-10-2013 09:08","15-10-2013 09:08","8,85,77,77,778",Software,1,SD0012357,,,
DTA000614,application,"Desktop Application",WBS000212,IM0005075,Closed,4,4,4,0.158563133,incident,KM0000467,closed,2,"14-10-2013 10:48",,"22-10-2013 13:54","22-10-2013 13:54","29,325","User error",1,SD0012356,,,
SBA000458,application,"Server Based Application",WBS000073,IM0005076,Closed,4,4,4,0.41150324,incident,KM0001890,closed,0,"14-10-2013 10:52",,"15-10-2013 14:43","15-10-2013 14:43","4,46,27,77,778",Software,1,SD0012584,,,
ZOS000016,computer,"zOS Server",WBS000199,IM0005077,Closed,3,3,3,0.103401472,incident,KM0000940,closed,0,"14-10-2013 10:54",,"14-10-2013 11:11","14-10-2013 11:11","0,271388889",Other,1,SD0012591,,,
MON00010,displaydevice,Monitor,WBS000091,IM0005078,Closed,4,4,4,0.549001611,incident,KM0000316,closed,0,"14-10-2013 10:57",,"16-10-2013 08:49","16-10-2013 08:49","1,88,63,88,889",Hardware,1,SD0012589,,,
SAP000005,application,SAP,WBS000271,IM0005079,Closed,5,5,5,0.682960266,"request for information",KM0001572,closed,7,"14-10-2013 11:02","15-10-2013 15:21","17-10-2013 08:57","17-10-2013 08:57","2,68,96,11,111",Other,3,#MULTIVALUE,,,
CBD000350,computer,"Banking Device",WBS000146,IM0005080,Closed,4,4,4,0.436691532,incident,KM0000274,closed,1,"14-10-2013 11:04",,"14-10-2013 16:40","14-10-2013 16:40","5,60,16,66,667",Hardware,1,SD0012604,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0005081,Closed,4,4,4,0.640019615,incident,KM0000741,closed,2,"14-10-2013 11:09",,"16-10-2013 11:09","16-10-2013 11:09","2,00,33,88,889",Other,1,SD0012590,,,
SBA000607,application,"Server Based Application",WBS000263,IM0005082,Closed,5,5,5,0.557330245,incident,KM0000592,closed,8,"14-10-2013 11:14",,"17-10-2013 08:15","17-10-2013 08:15","2,85,12,22,222",Other,1,SD0012611,,,
LAP000731,computer,Laptop,WBS000091,IM0005083,Closed,4,4,4,0.065498384,incident,KM0000966,closed,0,"14-10-2013 11:14",,"17-10-2013 11:55","17-10-2013 11:55","0,012222222",Software,1,SD0012586,,,
SBA000017,application,"Server Based Application",WBS000099,IM0005084,Closed,3,3,3,0.840390543,incident,KM0000480,closed,0,"14-10-2013 11:15",,,"14-10-2013 11:17","0,035","User error",1,SD0012621,,,
SUB000113,subapplication,"Server Based Application",WBS000095,IM0005085,Closed,4,4,4,0.620830714,incident,KM0000223,closed,0,"14-10-2013 11:21",,"14-10-2013 14:39","14-10-2013 14:39","3,30,36,11,111",Software,2,#MULTIVALUE,,,
SBA000079,application,"Server Based Application",WBS000223,IM0005086,Closed,4,4,4,0.687707765,incident,KM0001403,closed,5,"14-10-2013 11:22",,"17-10-2013 15:15","17-10-2013 15:21","3,54,83,61,111",Software,1,SD0012622,,,
SBA000263,application,"Server Based Application",WBS000072,IM0005087,Closed,5,5,5,0.282646827,"request for information",KM0001116,closed,4,"14-10-2013 11:23",,"21-10-2013 14:51","21-10-2013 14:51","5,59,66,94,444",Other,1,SD0012627,,,
DTA000616,application,"Desktop Application",WBS000092,IM0005088,Closed,4,4,4,0.130286763,incident,KM0001127,closed,0,"14-10-2013 11:28",,"16-10-2013 12:13","16-10-2013 12:13","1,31,18,33,333",Software,1,SD0012623,,,
WBA000117,application,"Web Based Application",WBS000012,IM0005089,Closed,5,5,5,0.733767444,incident,KM0001971,closed,1,"14-10-2013 11:28",,"14-10-2013 13:05","14-10-2013 13:06","1,62,44,44,444","No error - works as designed",1,SD0012628,,,
SBA000263,application,"Server Based Application",WBS000072,IM0005090,Closed,5,5,5,0.418516362,"request for information",KM0001111,closed,2,"14-10-2013 11:29",,"18-10-2013 11:01","18-10-2013 11:01","41,53",Other,1,SD0012633,,,
SUB000442,subapplication,"Web Based Application",WBS000125,IM0005091,Closed,3,3,3,0.824839018,incident,KM0000204,closed,1,"14-10-2013 11:29",,"15-10-2013 11:58","15-10-2013 11:58","1,09,81,38,889","No error - works as designed",1,SD0012614,,,
SBA000263,application,"Server Based Application",WBS000072,IM0005092,Closed,5,5,5,0.567827386,"request for information",KM0001113,closed,0,"14-10-2013 11:32",,"15-10-2013 10:29","15-10-2013 10:29","9,44,52,77,778",Other,1,SD0012634,,,
WBA000144,application,"Web Based Application",WBS000318,IM0005093,Closed,3,3,3,0.843704235,incident,KM0000844,closed,0,"14-10-2013 11:35",,"15-10-2013 11:17","15-10-2013 11:17","9,78,80,55,556",Other,1,SD0012635,,,
SAP000005,application,SAP,WBS000271,IM0005094,Closed,5,5,5,0.367089088,"request for information",KM0001571,closed,4,"14-10-2013 11:37",,"15-10-2013 13:02","15-10-2013 13:02","1,19,16,11,111",Other,1,SD0012642,,,
SAP000004,application,SAP,WBS000271,IM0005095,Closed,5,5,5,0.401070391,"request for information",KM0001269,closed,0,"14-10-2013 11:41",,"15-10-2013 10:58","15-10-2013 10:58","9,79,52,77,778",Other,1,SD0012645,,,
WBA000133,application,"Web Based Application",WBS000073,IM0005096,Closed,4,5,4,0.943047633,incident,KM0000711,closed,1,"14-10-2013 11:27",,"17-10-2013 08:04","17-10-2013 08:04","1,70,44,72,222",Software,1,SD0012413,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0005097,Closed,4,4,4,0.427814428,incident,KM0000741,closed,0,"14-10-2013 11:31",,"14-10-2013 14:47","14-10-2013 14:47","3,27,38,88,889",Software,1,SD0012421,,,
WBA000144,application,"Web Based Application",WBS000318,IM0005098,Closed,5,5,5,0.533536746,incident,KM0000836,closed,0,"14-10-2013 11:36",,"16-10-2013 16:06","16-10-2013 16:06","2,55,08,88,889",Unknown,1,SD0012425,,,
SAP000003,application,SAP,WBS000271,IM0005099,Closed,4,5,4,0.110838279,incident,KM0001163,closed,1,"14-10-2013 11:41",,,"15-10-2013 17:24","1,62,08,05,556",Software,1,SD0012428,,,
DTA000616,application,"Desktop Application",WBS000092,IM0005100,Closed,3,3,3,0.310978847,incident,KM0001973,closed,0,"14-10-2013 11:45",,"14-10-2013 14:10","14-10-2013 14:10","0,5825",Software,1,SD0012419,,,
SBA000659,application,"Server Based Application",WBS000128,IM0005101,Closed,4,4,4,0.516660985,incident,KM0002059,closed,0,"14-10-2013 11:48",,"14-10-2013 12:44","14-10-2013 12:45","0,939166667",Software,1,SD0012718,,,
SUB000113,subapplication,"Server Based Application",WBS000095,IM0005102,Closed,4,4,4,0.907644764,incident,KM0000223,closed,0,"14-10-2013 12:01",,"14-10-2013 14:45","14-10-2013 14:45","2,73,55,55,556",Software,1,SD0012719,,,
SBA000256,application,"Server Based Application",WBS000247,IM0005103,Closed,4,4,4,0.633334137,incident,KM0000679,closed,0,"14-10-2013 12:02",,"15-10-2013 14:20","15-10-2013 14:20","1,09,68,33,333",Unknown,1,SD0012722,,,
SBA000072,application,"Server Based Application",WBS000244,IM0005104,Closed,4,4,4,0.676393832,incident,KM0000674,closed,0,"14-10-2013 12:11",,"14-10-2013 16:07","14-10-2013 16:07","3,94,72,22,222","User error",1,SD0012726,,,
DTA000025,application,"Desktop Application",WBS000110,IM0005105,Closed,3,3,3,0.236463422,incident,KM0000833,closed,0,"14-10-2013 12:30",,"14-10-2013 13:21","14-10-2013 13:21","0,86","No error - works as designed",1,SD0012731,,,
SUB000113,subapplication,"Server Based Application",WBS000095,IM0005106,Closed,5,5,5,0.903451736,"request for information",KM0000226,closed,0,"14-10-2013 12:33",,"14-10-2013 12:43","14-10-2013 12:43","0,154166667",Data,1,SD0012733,,,
SBA000287,application,"Server Based Application",WBS000042,IM0005107,Closed,4,4,4,0.177019647,incident,KM0000227,closed,1,"14-10-2013 12:42",,"15-10-2013 10:36","15-10-2013 10:36","8,40,16,66,667",Other,1,SD0012734,,,
EXC000004,application,Exchange,WBS000094,IM0005108,Closed,5,5,5,0.060373976,"request for information",KM0001237,closed,2,"14-10-2013 12:58",,"05-11-2013 08:36","05-11-2013 08:36","9,55,18,05,556","No error - works as designed",1,SD0012730,,,
SBA000689,application,"Server Based Application",WBS000228,IM0005109,Closed,5,5,5,0.207544081,"request for information",KM0000656,closed,0,"14-10-2013 13:07",,"14-10-2013 17:41","14-10-2013 17:41","4,57,88,88,889",Other,1,SD0012740,,,
SBA000607,application,"Server Based Application",WBS000263,IM0005110,Closed,5,5,5,0.971175652,"request for information",KM0001825,closed,2,"14-10-2013 13:11",,"15-10-2013 15:28","15-10-2013 15:29","1,27,93,88,889",Other,1,SD0012742,,,
WBA000126,application,"Web Based Application",WBS000148,IM0005111,Closed,3,3,3,0.239737114,incident,KM0001863,closed,0,"14-10-2013 13:12",,"14-10-2013 14:20","14-10-2013 14:20","1,12,86,11,111",Software,1,SD0012738,,,
SBA000607,application,"Server Based Application",WBS000263,IM0005112,Closed,5,5,5,0.139093509,"request for information",KM0001825,closed,2,"14-10-2013 13:15",,"16-10-2013 08:38","16-10-2013 08:38","1,63,90,83,333",Other,1,SD0012743,,,
OVR000059,,,WBS000063,IM0005113,Closed,4,4,4,0.629788565,incident,KM0000297,closed,0,"14-10-2013 13:15",,"14-10-2013 15:21","14-10-2013 15:21","20,925","No error - works as designed",2,#MULTIVALUE,,,
WBA000144,application,"Web Based Application",WBS000318,IM0005114,Closed,5,5,5,0.851237193,incident,KM0000836,closed,0,"14-10-2013 13:24",,"14-10-2013 14:37","14-10-2013 14:37","1,21,80,55,556",Unknown,1,SD0012747,,,
WBA000008,application,"Web Based Application",WBS000167,IM0005115,Closed,5,5,5,0.525600916,incident,KM0000069,closed,0,"14-10-2013 13:34",,"16-10-2013 14:56","16-10-2013 14:59","2,24,21,66,667",Software,,#N/B,,,
MON00020,displaydevice,Monitor,WBS000091,IM0005116,Closed,4,4,4,0.715576648,incident,KM0000316,closed,1,"14-10-2013 13:34",,"14-10-2013 15:15","14-10-2013 15:16","1,69",Hardware,1,SD0012751,,,
SAP000003,application,SAP,WBS000271,IM0005117,Closed,5,5,5,0.593454478,"request for information",KM0001234,closed,5,"14-10-2013 13:38",,"22-10-2013 09:27","22-10-2013 09:27","5,88,16,66,667",Other,1,SD0012752,,,
WBA000011,application,"Web Based Application",WBS000152,IM0005118,Closed,5,5,5,0.696452601,incident,KM0000078,closed,0,"14-10-2013 13:38",,"14-10-2013 17:44","14-10-2013 17:44","4,09,22,22,222",Software,1,SD0012749,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0005119,Closed,4,4,4,0.756295196,incident,KM0001147,closed,0,"14-10-2013 14:05","14-10-2013 16:09","15-10-2013 08:28","15-10-2013 08:28","3,70,72,22,222","User error",2,#MULTIVALUE,,,
SBA000462,application,"Server Based Application",WBS000073,IM0005120,Closed,4,4,4,0.998215256,incident,KM0001866,closed,1,"14-10-2013 14:05",,"17-10-2013 16:06","17-10-2013 16:06","3,35,18,33,333","User manual not used",1,SD0012761,,,
SUB000443,subapplication,"Web Based Application",WBS000125,IM0005121,Closed,5,5,5,0.40738967,incident,KM0000727,closed,0,"14-10-2013 14:16",,"15-10-2013 08:39","15-10-2013 08:39","48,875",Software,1,SD0012755,,,
DTA000616,application,"Desktop Application",WBS000092,IM0005122,Closed,4,4,4,0.701347238,incident,KM0001968,closed,0,"14-10-2013 14:17",,"15-10-2013 08:59","15-10-2013 09:00","0,008888889",Other,1,SD0012765,,,
SBA000464,application,"Server Based Application",WBS000073,IM0005123,Closed,4,4,4,0.951396654,incident,KM0001414,closed,2,"14-10-2013 14:19",,"18-10-2013 09:26","18-10-2013 09:26","37,115",Software,1,SD0012768,,,
SBA000462,application,"Server Based Application",WBS000073,IM0005124,Closed,4,4,4,0.749094028,incident,KM0001773,closed,1,"14-10-2013 14:19",,"17-10-2013 16:08","17-10-2013 16:08","3,33,01,38,889","User manual not used",1,SD0012764,,,
CBA000014,application,"Client Based Application",WBS000073,IM0005125,Closed,5,5,5,0.254242924,incident,KM0001707,closed,0,"14-10-2013 14:20",,"14-10-2013 15:58","14-10-2013 15:59","1,63,86,11,111","User error",1,SD0012767,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0005126,Closed,4,4,4,0.850340244,incident,KM0002041,closed,0,"14-10-2013 14:23",,"14-10-2013 15:16","14-10-2013 15:16","0,884166667",Software,1,SD0012770,,,
WBA000018,application,"Web Based Application",WBS000073,IM0005127,Closed,4,4,4,0.505507509,incident,KM0000720,closed,0,"14-10-2013 14:26",,"15-10-2013 16:03","15-10-2013 16:03","1,21,18,33,333",Software,1,SD0012771,,,
SBA000462,application,"Server Based Application",WBS000073,IM0005128,Closed,4,4,4,0.599290678,incident,KM0001773,closed,1,"14-10-2013 14:26",,"17-10-2013 16:08","17-10-2013 16:09","3,32,025","User manual not used",1,SD0012772,,,
PRN000140,officeelectronics,Printer,WBS000096,IM0005129,Closed,5,5,5,0.575423489,incident,KM0001925,closed,0,"14-10-2013 14:28",,"15-10-2013 12:30","15-10-2013 12:30","85,425",Hardware,1,SD0012773,,,
DTA000577,application,"Desktop Application",WBS000135,IM0005130,Closed,4,4,4,0.204320218,incident,KM0001251,closed,1,"14-10-2013 14:31",,"22-10-2013 10:30","22-10-2013 10:31","1,86,06,11,111","User error",1,SD0012775,,,
WBA000018,application,"Web Based Application",WBS000073,IM0005131,Closed,4,4,4,0.790233746,incident,KM0001914,closed,4,"14-10-2013 14:36",,"15-10-2013 07:56","15-10-2013 07:56","3,83,27,77,778",Data,1,SD0012780,,,
SBA000017,application,"Server Based Application",WBS000099,IM0005132,Closed,3,3,3,0.283318651,incident,KM0000480,closed,0,"14-10-2013 14:38",,,"14-10-2013 14:41","0,048888889","User error",1,SD0012782,,,
CBA000014,application,"Client Based Application",WBS000073,IM0005133,Closed,5,5,5,0.339393416,incident,KM0001707,closed,0,"14-10-2013 14:42",,"14-10-2013 16:11","14-10-2013 16:12","1,49,77,77,778","User error",1,SD0012781,,,
ASW000010,software,"Automation Software",WBS000284,IM0005134,Closed,4,4,4,0.912909151,incident,KM0000479,closed,1,"14-10-2013 14:44",,"22-10-2013 15:49","22-10-2013 15:50","77,025","User error",1,SD0012783,,,
CBA000014,application,"Client Based Application",WBS000073,IM0005135,Closed,5,5,5,0.909337301,incident,KM0001707,closed,0,"14-10-2013 14:45",,"14-10-2013 16:10","14-10-2013 16:11","1,43,52,77,778","User error",1,SD0012786,,,
CBA000014,application,"Client Based Application",WBS000073,IM0005136,Closed,5,5,5,0.172524745,incident,KM0001707,closed,0,"14-10-2013 14:47",,"14-10-2013 16:12","14-10-2013 16:13","1,42,88,88,889","User error",1,SD0012788,,,
SUB000113,subapplication,"Server Based Application",WBS000095,IM0005138,Closed,5,5,5,0.331983287,"request for information",KM0000226,closed,1,"14-10-2013 14:59",,"14-10-2013 16:10","14-10-2013 16:10","1,18,55,55,556",Data,1,SD0012787,,,
DTA000616,application,"Desktop Application",WBS000092,IM0005139,Closed,4,4,4,0.915511865,incident,KM0002055,closed,0,"14-10-2013 11:48",,"14-10-2013 13:25","14-10-2013 13:25","16,225",Software,1,SD0012644,,,
LAP000428,computer,Laptop,WBS000091,IM0005140,Closed,5,5,5,0.055048379,incident,KM0001444,closed,1,"14-10-2013 11:50",,"17-10-2013 13:34","17-10-2013 13:34","1,82,76,11,111",Hardware,1,SD0012638,,,
DTA000032,application,"Desktop Application",WBS000133,IM0005141,Closed,4,4,4,0.154306718,incident,KM0000908,closed,0,"14-10-2013 11:55",,"14-10-2013 14:07","14-10-2013 14:07","1,62,33,33,333",Software,1,SD0012653,,,
SAP000004,application,SAP,WBS000271,IM0005142,Closed,5,5,5,0.714386732,"request for information",KM0001264,closed,2,"14-10-2013 11:56","15-10-2013 11:52","15-10-2013 16:13","15-10-2013 16:13","6,25,66,66,667",Other,2,#MULTIVALUE,,,
DTA000616,application,"Desktop Application",WBS000092,IM0005143,Closed,4,4,4,0.678654838,incident,KM0001127,closed,0,"14-10-2013 11:57",,"22-10-2013 17:35","22-10-2013 17:35","8,75,44,44,444",Software,1,SD0012649,,,
SBA000263,application,"Server Based Application",WBS000072,IM0005144,Closed,5,5,5,0.766847192,"request for information",KM0001113,closed,2,"14-10-2013 11:59",,"16-10-2013 15:34","16-10-2013 15:34","2,45,82,77,778",Other,1,SD0012660,,,
LAP000603,computer,Laptop,WBS000091,IM0005145,Closed,5,5,5,0.111465486,incident,KM0001444,closed,0,"14-10-2013 12:11",,"15-10-2013 11:09","15-10-2013 11:09","4,57,30,55,556",Other,1,SD0012655,,,
WBA000011,application,"Web Based Application",WBS000152,IM0005146,Closed,5,5,5,0.978538943,incident,KM0000075,closed,0,"14-10-2013 12:15",,"14-10-2013 12:34","14-10-2013 12:34","0,3275",Software,1,SD0012668,,,
SBA000462,application,"Server Based Application",WBS000073,IM0005147,Closed,4,4,4,0.717520533,incident,KM0001828,closed,0,"14-10-2013 12:18",,"14-10-2013 12:28","14-10-2013 12:28","0,168333333",Other,1,SD0012671,,,
DTA000056,application,"Desktop Application",WBS000091,IM0005148,Closed,4,4,4,0.956691344,incident,KM0002040,closed,0,"14-10-2013 12:19",,"14-10-2013 17:36","14-10-2013 17:36","2,33,86,11,111",Software,1,SD0012670,,,
LAP000769,computer,Laptop,WBS000091,IM0005149,Closed,5,5,5,0.822935211,incident,KM0001444,closed,1,"14-10-2013 12:24",,"17-10-2013 09:22","17-10-2013 09:22","2,84,80,27,778",Hardware,1,SD0012669,,,
SBA000263,application,"Server Based Application",WBS000072,IM0005150,Closed,5,5,5,0.772552399,"request for information",KM0001114,closed,0,"14-10-2013 12:25",,"15-10-2013 10:49","15-10-2013 10:49","8,90,30,55,556",Other,1,SD0012678,,,
SBA000462,application,"Server Based Application",WBS000073,IM0005151,Closed,4,4,4,0.539848465,incident,KM0001365,closed,0,"14-10-2013 12:25",,"14-10-2013 16:32","14-10-2013 16:32","4,11,88,88,889","No error - works as designed",1,SD0012676,,,
SBA000464,application,"Server Based Application",WBS000073,IM0005152,Closed,4,4,4,0.79721109,incident,KM0001314,closed,1,"14-10-2013 12:27",,"15-10-2013 09:28","15-10-2013 09:28","7,51",Data,1,SD0012672,,,
SBA000462,application,"Server Based Application",WBS000073,IM0005153,Closed,4,4,4,0.351997565,incident,KM0001771,closed,0,"14-10-2013 12:34",,"14-10-2013 15:49","14-10-2013 15:49","3,25,47,22,222","User error",1,SD0012682,,,
SBA000263,application,"Server Based Application",WBS000072,IM0005154,Closed,5,5,5,0.047746749,"request for information",KM0001111,closed,0,"14-10-2013 12:38",,"15-11-2013 14:56","15-11-2013 14:56","9,28,91,66,667",Other,1,SD0012684,,,
WBA000144,application,"Web Based Application",WBS000318,IM0005155,Closed,5,5,5,0.143406214,incident,KM0000836,closed,0,"14-10-2013 12:38",,"11-11-2013 15:19","11-11-2013 15:19","1,69,23,61,111",Software,1,SD0012675,,,
SAP000004,application,SAP,WBS000271,IM0005156,Closed,5,5,5,0.574212239,"request for information",KM0001270,closed,2,"14-10-2013 12:41","15-10-2013 15:10","16-10-2013 15:30","16-10-2013 15:30","2,17,93,05,556",Other,2,#MULTIVALUE,,,
LAP001137,computer,Laptop,WBS000187,IM0005157,Closed,5,5,5,0.224823328,incident,KM0001447,closed,8,"14-10-2013 12:45",,"28-10-2013 11:04","28-10-2013 11:04","6,02,64,16,667",Hardware,1,SD0012688,,,
SAP000004,application,SAP,WBS000271,IM0005158,Closed,5,5,5,0.411405106,"request for information",KM0001264,closed,2,"14-10-2013 13:09",,"17-10-2013 14:17","17-10-2013 14:17","3,26,32,77,778",Other,1,SD0012701,,,
SAP000004,application,SAP,WBS000271,IM0005159,Closed,5,5,5,0.843993316,"request for information",KM0001269,closed,0,"14-10-2013 13:12",,"15-10-2013 11:05","15-10-2013 11:05","8,38,58,33,333",Other,1,SD0012704,,,
SBA000263,application,"Server Based Application",WBS000072,IM0005160,Closed,5,5,5,0.566068908,"request for information",KM0001113,closed,2,"14-10-2013 13:19",,"28-10-2013 07:57","28-10-2013 07:57","9,96,34,16,667",Other,1,SD0012707,,,
SBA000017,application,"Server Based Application",WBS000099,IM0005161,Closed,3,3,3,0.636854621,incident,KM0000480,closed,0,"14-10-2013 13:20",,,"14-10-2013 13:23","0,050833333","User error",1,SD0012708,,,
SBA000076,application,"Server Based Application",WBS000152,IM0005162,Closed,5,5,5,0.082435391,incident,KM0001472,closed,4,"14-10-2013 13:29",,"25-10-2013 16:33","25-10-2013 16:34","9,13,39,16,667",Software,1,SD0012703,,,
WBA000058,application,"Web Based Application",WBS000073,IM0005163,Closed,4,4,4,0.888065198,incident,KM0000819,closed,1,"14-10-2013 13:30",,"16-10-2013 15:14","16-10-2013 15:22","2,28,61,11,111",Other,1,SD0012710,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0005164,Closed,4,4,4,0.049710488,incident,KM0001288,closed,0,"14-10-2013 13:45",,"14-10-2013 15:55","14-10-2013 15:55","2,16,77,77,778","User error",1,SD0012717,,,
SUB000479,subapplication,"Web Based Application",WBS000015,IM0005165,Closed,5,5,5,0.877138595,incident,KM0000454,closed,0,"14-10-2013 13:50",,"15-10-2013 11:12","15-10-2013 11:12","7,87,13,88,889",Other,1,SD0012945,,,
CBD000764,computer,"Banking Device",WBS000146,IM0005166,Closed,3,3,3,0.755943683,incident,KM0000274,closed,1,"14-10-2013 13:51",,"17-10-2013 16:14","17-10-2013 16:14","3,38,87,22,222",Hardware,1,SD0012946,,,
SAP000004,application,SAP,WBS000271,IM0005167,Closed,5,5,5,0.994378525,"request for information",KM0001264,closed,4,"14-10-2013 13:53","21-10-2013 12:27","22-10-2013 09:08","22-10-2013 09:08","5,74,29,16,667",Other,2,#MULTIVALUE,,,
SBA000782,application,"Server Based Application",WBS000043,IM0005168,Closed,3,3,3,0.245881295,incident,KM0001762,closed,1,"14-10-2013 13:55",,"16-10-2013 08:18","16-10-2013 08:21","1,54,40,83,333",Software,1,SD0012942,,,
WBA000018,application,"Web Based Application",WBS000073,IM0005169,Closed,4,4,4,0.69961969,incident,KM0000720,closed,1,"14-10-2013 13:56",,"15-10-2013 08:28","15-10-2013 08:28","5,02,80,55,556",Data,1,SD0012949,,,
SBA000759,application,"Server Based Application",WBS000296,IM0005170,Closed,5,5,5,0.160054258,"request for information",KM0001032,closed,3,"14-10-2013 13:57",,"21-10-2013 13:56","21-10-2013 13:56","4,60,35,55,556",Other,1,SD0012954,,,
SBA000451,application,"Server Based Application",WBS000073,IM0005171,Closed,5,5,5,0.745689178,incident,KM0001559,closed,1,"14-10-2013 14:00",,"17-10-2013 14:31","17-10-2013 14:31","3,20,26,11,111",Software,1,SD0012947,,,
CBA000014,application,"Client Based Application",WBS000073,IM0005172,Closed,3,3,3,0.927613838,"request for information",KM0001952,closed,0,"14-10-2013 14:00",,"15-10-2013 13:08","15-10-2013 13:08","5,88,36,11,111","No error - works as designed",1,SD0012952,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0005173,Closed,4,4,4,0.984231116,incident,KM0002041,closed,0,"14-10-2013 14:01",,"14-10-2013 16:13","14-10-2013 16:13","2,19,52,77,778",Other,1,SD0012953,,,
SUB000456,subapplication,"Web Based Application",WBS000073,IM0005174,Closed,4,4,4,0.521828538,incident,KM0000741,closed,2,"14-10-2013 14:03",,"15-10-2013 11:04","15-10-2013 11:04","7,50,69,44,444",Software,1,SD0012948,,,
SBA000834,application,"Server Based Application",WBS000223,IM0005175,Closed,4,4,4,0.905611026,incident,KM0001308,closed,2,"14-10-2013 14:04","16-10-2013 10:30","17-10-2013 13:58","17-10-2013 13:58","3,01,96,38,889",Software,2,#MULTIVALUE,,,
SUB000508,subapplication,"Web Based Application",WBS000162,IM0005176,Closed,5,5,5,0.247846626,"request for information",KM0000553,closed,16,"14-10-2013 14:07","21-10-2013 14:52","02-12-2013 16:57","02-12-2013 16:57","3,20,31,58,333","No error - works as designed",2,#MULTIVALUE,,,
SBA000131,application,"Server Based Application",WBS000023,IM0005177,Closed,NS,3,NA,0.254668897,incident,KM0000940,closed,0,"14-10-2013 14:08",,"14-10-2013 15:13","14-10-2013 15:13","1,085",Other,1,SD0012965,,,
SBA000462,application,"Server Based Application",WBS000073,IM0005178,Closed,4,4,4,0.981669692,incident,KM0001402,closed,0,"14-10-2013 12:46",,"14-10-2013 16:49","14-10-2013 16:49","4,04,77,77,778",Other,1,SD0012805,,,
SBA000427,application,"Server Based Application",WBS000307,IM0005179,Closed,4,4,4,0.628715843,incident,KM0001321,closed,0,"14-10-2013 12:49",,"14-10-2013 15:13","14-10-2013 15:13","2,39,44,44,444",Software,1,SD0012807,,,
WBA000144,application,"Web Based Application",WBS000318,IM0005180,Closed,4,4,4,0.209197485,incident,KM0000818,closed,3,"14-10-2013 13:00",,"17-10-2013 16:28","17-10-2013 16:29","3,49,76,38,889",Unknown,1,SD0012811,,,
SUB000424,subapplication,"Web Based Application",WBS000073,IM0005181,Closed,5,5,5,0.310589026,incident,KM0001538,closed,2,"14-10-2013 13:00",,"17-10-2013 15:56","17-10-2013 15:56","34,42",Data,1,SD0012814,,,
WBA000144,application,"Web Based Application",WBS000318,IM0005182,Closed,4,4,4,0.56459559,incident,KM0000818,closed,3,"14-10-2013 13:01",,"17-10-2013 16:26","17-10-2013 16:26","3,49,28,33,333",Unknown,1,SD0012813,,,
SBA000607,application,"Server Based Application",WBS000263,IM0005183,Closed,5,5,5,0.568996381,incident,KM0001106,closed,1,"14-10-2013 13:02",,"14-10-2013 14:19","14-10-2013 14:19","1,28,77,77,778",Other,1,SD0012816,,,
SBA000464,application,"Server Based Application",WBS000073,IM0005184,Closed,4,4,4,0.668000832,incident,KM0001314,closed,2,"14-10-2013 13:05",,"17-10-2013 10:48","17-10-2013 13:03","3,14,68,05,556","User manual not used",1,SD0012812,,,
WBA000011,application,"Web Based Application",WBS000152,IM0005185,Closed,5,5,5,0.510841177,incident,KM0001724,closed,1,"14-10-2013 13:08",,"15-10-2013 11:18","15-10-2013 11:19","4,47,72,22,222",Software,1,SD0012739,,,
WBA000124,application,"Web Based Application",WBS000088,IM0005186,Closed,4,4,4,0.68170576,incident,KM0000611,closed,3,"14-10-2013 13:12",,"31-12-2013 14:30","31-12-2013 14:31","5,68,30,83,333",Unknown,1,SD0012819,,,
